trace_index,truth_str,avg_no,avg_with,gain,n
0,0 6 7 0 6 7 0 6 7 0 1 3 4 5,0.185,0.333,0.14800000000000002,1
1,6 0 7 0 1 3 4 5,0.4,0.467,0.067,1
2,1 2 9 7,0.42366666666666664,0.47100000000000003,0.047333333333333394,3
3,6 7 0 6 7 0 1 3 4 5,0.34175,0.368,0.026249999999999996,4
4,1 15 16 4 5,0.527,0.545,0.018000000000000016,10
5,3 4 5,0.9364566635601118,0.9517567567567567,0.015300093196644937,2146
6,0 1 2 3 4 5,0.8157014925373135,0.831,0.015298507462686461,67
7,0 1 3 4 5,0.8843589743589744,0.8967948717948717,0.012435897435897347,117
8,1 2 3 4 5,0.8337519083969467,0.8457582697201017,0.012006361323155024,786
9,1 3 4 5,0.9071904411764706,0.9185249999999999,0.011334558823529295,1360
10,6 7 0 1 3 4 5,0.5281,0.53807,0.009970000000000034,100
11,7 0 1 2 3 4 5,0.8449117647058824,0.8528382352941177,0.007926470588235368,68
12,7 0 1 3 4 5,0.9559051724137931,0.9628448275862069,0.0069396551724137945,116
13,7,0.9261543624161073,0.9319060402684565,0.005751677852349202,149
14,2 3 4 5,0.8493066157760814,0.8540890585241729,0.0047824427480915865,786
15,6 7 0 1 2 3 4 5,0.4842826086956522,0.4871956521739131,0.0029130434782608794,46
16,0 1 14 7 0 1 3 4 5,0.5,0.5,0.0,1
17,0 1 15 16 4 5,0.6,0.6,0.0,1
18,0 1 17,0.364,0.364,0.0,1
19,0 1 2 0 1 2 3 4 5,0.588,0.588,0.0,1
20,0 1 2 15 16 4 5,0.6335,0.6335,0.0,2
21,0 1 3 5,0.636,0.636,0.0,1
22,0 1 9 7 0 1 2 3 4 5,0.579,0.579,0.0,2
23,0 6 0 1 2 0 1 2 3 4 5,0.429,0.429,0.0,1
24,0 6 0 6 0 6 0 6 7,0.059,0.059,0.0,1
25,0 6 0 6 0 6 7,0.077,0.077,0.0,1
26,0 6 7,0.13333333333333333,0.13333333333333333,0.0,3
27,0 6 7 0 1 2 3 4 5,0.529,0.529,0.0,1
28,0 6 7 0 6 7 0 1 3 4 5,0.429,0.429,0.0,1
29,0 6 7 0 6 7 0 6 7 0 6 7 0 1 3 4 5,0.273,0.273,0.0,1
30,0 7 0 1 3 4 5,0.846,0.846,0.0,1
31,0 7 0 6 7,0.111,0.111,0.0,1
32,1 13 5,0.571,0.571,0.0,1
33,1 14 7,0.4918,0.4918,0.0,5
34,1 14 7 0 1 2 3 4 5,0.5,0.5,0.0,4
35,1 14 7 0 1 3 4 5,0.42519999999999997,0.42519999999999997,0.0,5
36,1 17,0.222,0.222,0.0,1
37,1 2 0 1 2 3 4 5,0.6,0.6,0.0,1
38,1 2 15 16 4 5,0.4235,0.4235,0.0,4
39,1 2 3 5,0.714,0.714,0.0,1
40,1 2 3 5 4,0.556,0.556,0.0,1
41,1 2 9,0.444,0.444,0.0,1
42,1 2 9 0 1 3,0.545,0.545,0.0,1
43,1 2 9 7 0 1 2 3 4 5,0.474,0.474,0.0,4
44,1 2 9 7 0 1 3 4 5,0.49,0.49,0.0,3
45,1 2 9 7 0 6 7 0 1 3 4 5,0.304,0.304,0.0,1
46,1 3,0.333,0.333,0.0,1
47,1 3 5 4,0.556,0.556,0.0,1
48,1 9 0 1 3 5,0.455,0.455,0.0,1
49,1 9 7,0.3921666666666667,0.3921666666666667,0.0,6
50,1 9 7 0 1 2 3 4 5,0.44121428571428567,0.44121428571428567,0.0,14
51,1 9 7 0 1 3 4 5,0.4858571428571429,0.4858571428571429,0.0,7
52,13 5,0.4,0.4,0.0,1
53,14 7,0.3544,0.3544,0.0,5
54,14 7 0 1 2 3 4 5,0.4065,0.4065,0.0,4
55,14 7 0 1 3 4 5,0.3858,0.3858,0.0,5
56,15 16 4 5,0.452,0.452,0.0,14
57,16 4 5,0.9524285714285714,0.9524285714285714,0.0,14
58,17,0.0,0.0,0.0,1
59,2 0 1 2 3 4 5,0.385,0.385,0.0,1
60,2 15 16 4 5,0.49975,0.49975,0.0,4
61,2 3 5,0.6,0.6,0.0,1
62,2 3 5 4,0.429,0.429,0.0,1
63,2 9,0.2,0.2,0.0,1
64,2 9 0 1 3,0.222,0.222,0.0,1
65,2 9 7 0 1 2 3 4 5,0.412,0.412,0.0,4
66,2 9 7 0 1 3 4 5,0.4223333333333334,0.4223333333333334,0.0,3
67,2 9 7 0 6 7 0 1 3 4 5,0.238,0.238,0.0,1
68,3,0.143,0.143,0.0,1
69,3 5,0.6,0.6,0.0,3
70,3 5 4,0.6,0.6,0.0,2
71,4 5,1.0,1.0,0.0,2160
72,5,0.9987670979667282,0.9987670979667282,0.0,2164
73,5 4,0.333,0.333,0.0,2
74,6,0.333,0.333,0.0,1
75,6 0 1 2 0 1 2 3 4 5,0.368,0.368,0.0,1
76,6 0 1 2 3 4 5,0.692,0.692,0.0,1
77,6 0 1 3 4 5,0.5455,0.5455,0.0,2
78,6 0 6 0 6 0 6 0 6 7,0.158,0.158,0.0,1
79,6 0 6 0 6 0 6 7,0.2,0.2,0.0,2
80,6 0 6 0 6 7,0.273,0.273,0.0,1
81,6 0 6 7,0.429,0.429,0.0,3
82,6 0 7 0 6 7,0.273,0.273,0.0,1
83,6 7 0 1 14 7 0 1 3 4 5,0.318,0.318,0.0,1
84,6 7 0 1 15 16 4 5,0.353,0.353,0.0,1
85,6 7 0 1 17,0.3,0.3,0.0,1
86,6 7 0 1 2 15 16 4 5,0.2635,0.2635,0.0,2
87,6 7 0 1 9 7 0 1 2 3 4 5,0.304,0.304,0.0,2
88,6 7 0 6 0 1 2 0 1 2 3 4 5,0.28,0.28,0.0,1
89,6 7 0 6 7,0.333,0.333,0.0,5
90,6 7 0 6 7 0 1 2 3 4 5,0.286,0.286,0.0,1
91,6 7 0 6 7 0 6 7 0 1 3 4 5,0.28,0.28,0.0,1
92,6 7 0 6 7 0 6 7 0 6 7 0 1 3 4 5,0.226,0.226,0.0,1
93,6 7 0 6 7 0 6 7 0 6 7 0 6 7 0 1 3 4 5,0.189,0.189,0.0,1
94,7 0 1 14 7 0 1 3 4 5,0.55,0.55,0.0,1
95,7 0 1 15 16 4 5,0.667,0.667,0.0,1
96,7 0 1 17,0.545,0.545,0.0,1
97,7 0 1 2 15 16 4 5,0.588,0.588,0.0,2
98,7 0 1 9 7 0 1 2 3 4 5,0.5715,0.5715,0.0,2
99,7 0 6 0 1 2 0 1 2 3 4 5,0.478,0.478,0.0,1
100,7 0 6 7,0.19066666666666665,0.19066666666666665,0.0,6
101,7 0 6 7 0 1 2 3 4 5,0.579,0.579,0.0,1
102,7 0 6 7 0 6 7 0 1 3 4 5,0.478,0.478,0.0,1
103,7 0 6 7 0 6 7 0 6 7 0 1 3 4 5,0.379,0.379,0.0,1
104,7 0 6 7 0 6 7 0 6 7 0 6 7 0 1 3 4 5,0.314,0.314,0.0,1
105,9,0.0,0.0,0.0,1
106,9 0 1 3,0.286,0.286,0.0,1
107,9 0 1 3 5,0.333,0.333,0.0,1
108,9 7,0.18733333333333332,0.18733333333333332,0.0,9
109,9 7 0 1 2 3 4 5,0.3851111111111111,0.3851111111111111,0.0,18
110,9 7 0 1 3 4 5,0.4081,0.4081,0.0,10
111,9 7 0 6 7 0 1 3 4 5,0.263,0.263,0.0,1
112,6 7,0.9970370370370369,0.9936518518518519,-0.0033851851851850467,135
113,1 3 5,0.678,0.635,-0.04300000000000004,2
114,2 9 7,0.47633333333333333,0.4096666666666667,-0.06666666666666665,3
115,0 1 3,0.455,0.385,-0.07,1
116,7 0 6 7 0 1 3 4 5,0.647,0.5764,-0.0706,5
117,0 6 7 0 1 3 4 5,0.6,0.52,-0.07999999999999996,5
